,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
225,physio,7,True,20,0,0.42333653569221497
226,physio,7,True,20,1,0.4213810861110687
227,physio,7,True,20,2,0.44641053676605225
228,physio,7,True,20,3,0.40511855483055115
229,physio,7,True,20,4,0.41797488927841187
230,physio,7,True,20,5,0.4171169102191925
231,physio,7,True,20,6,0.4527214467525482
232,physio,7,True,20,7,0.414605975151062
233,physio,7,True,20,8,0.4218659996986389
234,physio,7,True,20,9,0.40162378549575806
235,physio,7,True,30,0,0.41312602162361145
236,physio,7,True,30,1,0.4248056411743164
237,physio,7,True,30,2,0.4152248203754425
238,physio,7,True,30,3,0.41447579860687256
239,physio,7,True,30,4,0.4438358545303345
240,physio,7,True,30,5,0.4024882912635803
241,physio,7,True,30,6,0.40793880820274353
242,physio,7,True,30,7,0.44330862164497375
243,physio,7,True,30,8,0.43923914432525635
